time [sec],pos_east [m],pos_north [m],pos_up [m],vel_east [m/s],vel_north [m/s],vel_up [m/s],altitude [km],downrange [km],vel_air_east [m/s],vel_air_north [m/s],vel_air_up [m/s],vel_air_abs [m/s]
0.9400000000000001,0.723379662142312,0.11327823209099765,18.98819352659262,1.4611897749171803,0.22881621244626335,38.25506048741886,0.01898819352659262,7.321953929565437E-4,-1.1967804288241841,-0.1874108138136166,38.25506048741886,38.27423492512981
0.9500000000000001,0.7379852758749331,0.11556541016472931,19.37259045940044,1.459715983212924,0.22858542282434613,38.62525902430927,0.01937259045940044,7.469790033426264E-4,-1.2101185183914125,-0.18949950290002565,38.62525902430927,38.64467533289856
0.96,0.7525698477709956,0.11784929317478965,19.76069767003645,1.4570062048932237,0.22816108286363307,38.99496408162432,0.01976069767003645,7.617413154581134E-4,-1.2246227811061179,-0.19177080982789707,38.99496408162432,39.014660074472985
0.97,0.76712153453913,0.1201280265112433,20.15246745659582,1.453121081545087,0.22755268878322868,39.358917929834064,0.02015246745659582,7.764703416790338E-4,-1.2402323567795657,-0.19421520414600954,39.358917929834064,39.37893239349866
0.98,0.7816278158848131,0.12239964954829012,20.54788799925097,1.447900147902367,0.226735112393038,39.726334262466004,0.02054788799925097,7.911534091277162E-4,-1.2571085921279046,-0.19685795207584456,39.726334262466004,39.74670689502311
0.99,0.7960748047183653,0.12466198762572037,20.947014827235858,1.4412527912807802,0.22569416412537222,40.10028676054599,0.02094701482723586,8.057764614743836E-4,-1.2753449064017348,-0.1997136826816476,40.10028676054599,40.12105916427625
1.0,0.8104486704920555,0.1269128749375572,21.34988356315002,1.4333223529915766,0.22445229063055042,40.472395219941156,0.02134988356315002,8.203254996202766E-4,-1.294800069808402,-0.20276027996808763,40.472395219941156,40.493609295678056
1.01,0.8247376276692892,0.12915046591802162,21.75642765015812,1.4242790787871005,0.22303615168193336,40.83514034261163,0.02175642765015812,8.347885944000489E-4,-1.315302999230515,-0.20597095303393687,40.83514034261163,40.856837038787845
1.02,0.8389294256983177,0.13137284218190476,22.166601990068635,1.4138698163927765,0.22140610469124505,41.19926676462026,0.022166601990068636,8.491533459661222E-4,-1.337106681435769,-0.20938531854978565,41.19926676462026,41.22149049259995
1.03,0.8530104081017746,0.13357786518192136,22.58041826183355,1.402120075143643,0.2195661443137488,41.56334667992088,0.02258041826183355,8.634059314114743E-4,-1.3601870259189899,-0.21299960404319787,41.56334667992088,41.58614270177136
1.04,0.8669675548145239,0.135763496030282,22.9978613566031,1.3890875483641203,0.21752530508294884,41.925176501047616,0.0229978613566031,8.775331719971839E-4,-1.3844869907647182,-0.21680487698859055,41.925176501047616,41.94859036041948
1.05,0.8807878453647858,0.13792769577551836,23.418915900435834,1.3747625751700823,0.21528207414476372,42.28520353543881,0.023418915900435835,8.915218885727292E-4,-1.4100168743270007,-0.22080275006517067,42.28520353543881,42.309281954126924
1.06,0.8944590361614898,0.1400685471224348,23.843543918133207,1.3593200997954895,0.21286384703514064,42.63842637277267,0.023843543918133207,9.053596883360398E-4,-1.4366017742032091,-0.22496583428760278,42.63842637277267,42.66321410572106
1.07,0.9079699632102325,0.14218430183616207,24.271679697863682,1.3426465045581157,0.2102528316998507,42.9886522323196,0.024271679697863684,9.190352712386113E-4,-1.4643546626277828,-0.22931182063568983,42.9886522323196,43.01419694984855
1.08,0.9213075672276636,0.14427291488750213,24.70331608308633,1.3246363498399225,0.20743251673534077,43.33905591120326,0.024703316083086332,9.325354188453607E-4,-1.4933818805272805,-0.23385736165413254,43.33905591120326,43.36540840325488
1.09,0.9344590180412382,0.1463323771250517,25.13844203950441,1.3054687058603562,0.2044309437896424,43.68528231227388,0.02513844203950441,9.458471446241531E-4,-1.5235051402396396,-0.23857453824011535,43.68528231227388,43.71249108007575
1.1,0.9474129804688183,0.14836091350665762,25.57701198762395,1.2851052586350473,0.20124211305291725,44.028746683731136,0.02557701198762395,9.589589752525076E-4,-1.554762670088715,-0.243469336789398,44.028746683731136,44.05686210817134
1.11,0.9601570280846514,0.15035657810597705,26.01901180554514,1.2635050531221836,0.19785961113676864,44.37086385668411,0.026019011805545143,9.718583328654897E-4,-1.5871961350492747,-0.24854828186291134,44.37086385668411,44.399938369415885
1.12,0.9726786860355688,0.15231741741313617,26.464431864529406,1.2405708682570846,0.19426821362875393,44.71408949408793,0.026464431864529406,9.8453259058057E-4,-1.620903561467648,-0.2538267239768388,44.71408949408793,44.74417901410962
1.1300000000000001,0.9849643750991329,0.1542413049786487,26.913290015242524,1.2163667812211094,0.19047795474769577,45.05732834593856,0.026913290015242525,9.969680036871504E-4,-1.6558223111573747,-0.2592948542529455,45.05732834593856,45.08848876399925
1.1400000000000001,0.9970021459777767,0.1561263695924517,27.36557225993102,1.1909840566455105,0.18650312615345366,45.39904243128777,0.027365572259931022,0.0010091524772631788,-1.6918617619113976,-0.26493848163231604,45.39904243128777,45.43132886344328
1.1500000000000001,1.0087802358967344,0.15797076925317352,27.821265307690346,1.1644988386459667,0.18235565169633702,45.7382492419646,0.027821265307690347,0.001021074105182533,-1.7289464177983496,-0.2707457837675955,45.7382492419646,45.77171618712937
1.16,1.0202873016645106,0.1597727276644291,28.28035242258448,1.1366521225097563,0.1779949723207132,46.08034661020952,0.02828035242258448,0.0010327214060157656,-1.7673358418746745,-0.2767574071487103,46.08034661020952,46.115056265361254
1.17,1.0315090556142796,0.16153000743730161,28.742876998569763,1.1074766309661965,0.17342621226924523,46.4250324799568,0.028742876998569762,0.001044079917974174,-1.8069992175914422,-0.2829685260328799,46.4250324799568,46.46104775103705
